condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",TRBJ2-2P,6.15897879424935,-0.769815849218286,0.165854141223346,-4.64152322962875,3.45850131509289e-6,3.13235150753034e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SEPTIN1,675.167416345817,-0.274280633595856,0.0467898215214572,-5.86197221269747,4.57401581824099e-9,7.7061564513941e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RPS7P10,15.5188591823223,-0.768680244650135,0.126923657662231,-6.0562408837582,1.3933929954730301e-9,2.60009177052571e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TMEM204,226.622503500187,-0.565283944138108,0.0929552113294355,-6.0812507018539,1.1924866612402102e-9,2.26206914629294e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRBJ2-3,28.8791078032877,-0.595453754723984,0.112644177573961,-5.28614765137786,1.24919078454582e-7,1.59874076036675e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",STX12,576.824300114287,0.264857901083179,0.0377430928718336,7.01738731329126,2.2605534054921097e-12,6.6697977799159e-11,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DSC1,41.8951425734141,-0.822073857421801,0.161487589291527,-5.09063180042736,3.56872411315176e-7,4.08751912429828e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RNF216,1198.3657778238,-0.191817317713601,0.0291888078261569,-6.57160507739918,4.97757401367807e-11,1.2124099427358801e-9,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NLRC3,1086.1740769708,-0.320014144701731,0.0553539639725655,-5.78123266583647,7.41552479100571e-9,1.18317669418026e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",LINC02139,3.1470214654096,0.813269544753586,0.240868542489746,3.37640414288723,7.3439957473293e-4,0.00345557185842279,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
