"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"95","LVS F TULARENSIS (H192)","LVS F TULARENSIS (H48)",77,1,1,78,78,"B2M, CCL17, CCL18, CCL19, CCL20, CCR1, CCR3, CCR6, CCR7, CD209, CD44, CD58, CD68, CD74, CD80, CD83, CDC42, DCSTAMP, FAS, FCER1A, FCER1G, FCGR2A, FCGR2B, FCGR3A, HSP90B1, ICAM1, ICOS, IRAK1, LAMP3, PYCARD, SOD2, TAP2, TICAM1, ADAMDEC1, CARD10, CARD14, CARD8, CARD9, CCL16, CCL21, CCL22, CCR2, CCR4, CCR5, CD1A, CD1B, CD1C, CD1D, CD81, CD86, DCP1B, DCTN2, FCGR1A, HLA-DMA, HLA-DQB1, HLA-DRB1, ICAM2, IRAK1BP1, IRAK2, IRAK4, LILRB4, MYD88, NOD1, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",98.72,98.72,1,0
"96","LVS F TULARENSIS (H192)","CN54GP140 (D1)",0,78,172,78,174,"",0,0,7.47705888449713e-67,66.1262691991164
"97","LVS F TULARENSIS (H192)","CN54GP140 (D3)",0,78,74,78,74,"",0,0,2.85658504842472e-45,44.544152841265
"98","LVS F TULARENSIS (H192)","CN54GP140 (D7)",0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"99","LVS F TULARENSIS (H192)","CN54GP140 (H6)",3,75,97,78,100,"FCGR3A, CCR2, CD1C",3.85,3,1.56647365868579e-46,45.8050769036764
"100","LVS F TULARENSIS (H192)","HIV-1 GAG-POL NEF (D1)",31,47,1995,78,2029,"CCR1, CCR6, CCR7, CD44, CD68, FAS, FCER1A, FCER1G, FCGR2A, ICAM1, LAMP3, PYCARD, TAP2, CCR2, CCR4, CD1C, CD86, HLA-DMA, HLA-DRB1, LILRB4, MYD88, NOD1, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",39.74,1.53,3.0690521912829e-75,74.5129957260376
"101","LVS F TULARENSIS (H192)","HIV-1 GAG-POL NEF (D3)",6,72,136,78,142,"CCR1, FCGR3A, TAP1, TLR1, TLR2, TLR6",7.69,4.23,1.96472280244295e-50,49.7066987144292
"102","LVS F TULARENSIS (H192)","HPV-VLP (M2)",14,64,596,78,612,"CCL17, CCL18, CCL19, CCL20, CD209, CD83, ICAM1, LAMP3, PYCARD, TAP2, CD1B, NOD2, TLR1, TLR2",17.95,2.29,2.63766009303251e-76,75.578781171349
"103","LVS F TULARENSIS (H192)","INFLUENZA (D1)",0,78,26,78,26,"",0,0,4.43439020984212e-25,24.3531660932412
"104","LVS F TULARENSIS (H192)","PANDEMRIX (D1)",11,67,10,78,21,"CD86, HLA-DRB1, MYD88, NOD2, TAP1, TLR1, TLR2, TLR4, TLR6, TLR7, TLR8",14.1,52.38,7.81439866738761e-08,7.10710443613274
"105","LVS F TULARENSIS (H192)","FLUARIX FLUVIRIN (D3)",9,69,1046,78,1061,"CDC42, FCER1G, ICOS, CCR2, CCR5, CD86, ICAM2, TLR5, TLR8",11.54,0.85,8.25701608024723e-101,100.08317686963
"106","LVS F TULARENSIS (H192)","INFLUENZA (D3)",4,74,36,78,40,"TLR3, TLR4, TLR7, TLR9",5.13,10,1.51357006408267e-25,24.8199974704853
"107","LVS F TULARENSIS (H192)","PANDEMRIX (D3)",2,76,3,78,5,"TLR3, TLR7",2.56,40,0.000117205813408345,3.93105084677739
"108","LVS F TULARENSIS (H192)","PANDEMRIX (D30)",2,76,4,78,6,"TLR7, TLR9",2.56,33.33,8.57603512743987e-06,5.06671344877746
"109","LVS F TULARENSIS (H192)","FLUARIX FLUVIRIN (D7)",4,74,844,78,860,"CD83, HSP90B1, ICAM1, TRAF6",5.13,0.47,3.90122013083033e-105,104.408799543431
"110","LVS F TULARENSIS (H192)","INFLUENZA (D7)",0,78,72,78,72,"",0,0,1.21370492468426e-44,43.9158868858785
"111","LVS F TULARENSIS (H192)","PANDEMRIX (D7)",0,78,33,78,33,"",0,0,5.57770713762491e-29,28.2535442924817
"112","LVS F TULARENSIS (H192)","INACTIVATED INFLUENZA (D0)",0,78,5,78,5,"",0,0,3.44419081423288e-08,7.4629127958732
"113","LVS F TULARENSIS (H192)","FLUZONE (D1)",1,77,11,78,13,"FCGR1A",1.28,7.69,3.28589988907638e-13,12.4833456722716
"114","LVS F TULARENSIS (H192)","FLUZONE (D30)",0,78,16,78,16,"",0,0,2.17898593103847e-18,17.6617455738346
"115","LVS F TULARENSIS (H192)","FLUZONE (D7)",0,78,23,78,23,"",0,0,3.10584690297339e-23,22.5078199558298
"116","LVS F TULARENSIS (H192)","FLUMIST (D3)",11,67,1227,78,1245,"CD44, CDC42, FCER1G, PYCARD, CARD9, CD86, DCTN2, HLA-DRB1, MYD88, TLR7, TLR8",14.1,0.88,2.85484257606989e-101,100.544417834959
"117","LVS F TULARENSIS (H192)","FLUMIST (D7)",14,64,2389,78,2445,"CD58, CD83, CDC42, ICAM1, ICOS, SOD2, CARD8, CCR2, CD1C, CD1D, DCP1B, ICAM2, TLR5, TRAF6",17.95,0.57,2.35918113046792e-113,112.627238714077
"118","LVS F TULARENSIS (H192)","FLUMIST (D1)",0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"119","LVS F TULARENSIS (H192)","FLUENZ (D3-4)",1,77,5,78,6,"TLR1",1.28,16.67,2.06651448853974e-07,6.68476154548956
"120","LVS F TULARENSIS (H192)","FLUMIST (D30)",0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"121","LVS F TULARENSIS (H192)","FLUENZ (D6-7)",0,78,9,78,9,"",0,0,1.94963393418534e-12,11.7100469246824
"122","LVS F TULARENSIS (H192)","MENACTRA (D3)",3,75,43,78,48,"CCL20, CARD9, TLR4",3.85,6.25,1.28306857723322e-29,28.8917501309064
"123","LVS F TULARENSIS (H192)","MENACTRA (D7)",1,77,13,78,14,"HSP90B1",1.28,7.14,7.30199975350313e-15,14.136558186047
"124","LVS F TULARENSIS (H192)","WETVAX (D2-4)",5,73,96,78,101,"FCGR2B, FCGR3A, ICAM1, SOD2, FCGR1A",6.41,4.95,1.38437109586359e-43,42.8587474768714
"125","LVS F TULARENSIS (H192)","WETVAX (D5-7)",18,60,456,78,520,"CCR1, CCR7, CD74, FAS, FCGR2B, FCGR3A, ICAM1, SOD2, TAP2, CD1C, FCGR1A, HLA-DQB1, HLA-DRB1, MYD88, TAP1, TLR1, TLR2, TLR8",23.08,3.46,1.2341511712133e-63,62.9086316403006
"126","LVS F TULARENSIS (H192)","WETVAX (D50-60)",6,72,307,78,314,"SOD2, CCR2, CD1C, ICAM2, TLR5, TLR8",7.69,1.91,1.33027388012545e-71,70.8760589361893
"127","LVS F TULARENSIS (H192)","MVA85A (D2)",7,71,60,78,67,"CD68, ICAM1, PYCARD, FCGR1A, TLR1, TLR6, TLR8",8.97,10.45,1.18457332102522e-31,30.9264380527705
"128","LVS F TULARENSIS (H192)","ZOSTAVAX (D1)",0,78,14,78,14,"",0,0,7.93695625380775e-17,16.1003460133925
"129","LVS F TULARENSIS (H192)","ZOSTAVAX (D3)",0,78,7,78,7,"",0,0,2.02599459660757e-10,9.69336171725148
"130","LVS F TULARENSIS (H192)","YF VAX (ANY)",0,78,29,78,29,"",0,0,8.16346919251472e-27,26.088125241861
"131","LVS F TULARENSIS (H192)","YF17D (D3)",2,76,44,78,94,"LAMP3, TLR7",2.56,2.13,3.15508666532755e-31,30.5009887068615
"132","LVS F TULARENSIS (H192)","YF VAX (D4-7)",5,73,596,78,601,"CD74, FCGR3A, CCR5, CD86, TAP1",6.41,0.83,1.73871257793339e-92,91.7597722041585
"133","LVS F TULARENSIS (H192)","STAMARIL (D10)",5,73,298,78,303,"CCR1, FCER1A, TAP2, TAP1, TLR7",6.41,1.65,1.72967258502926e-72,71.7620360980114
"134","LVS F TULARENSIS (H192)","STAMARIL (D14)",1,77,69,78,70,"HSP90B1",1.28,1.43,7.85346860303324e-42,41.1049384881659
"135","LVS F TULARENSIS (H192)","STAMARIL (D28)",2,76,38,78,40,"FCER1G, MYD88",2.56,5,1.36153229152864e-28,27.8659720540182
