"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"TYPE 2 IMMUNE RESPONSE","BCL6","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE 2 IMMUNE RESPONSE","FCER1A","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE 2 IMMUNE RESPONSE","IL10","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE 2 IMMUNE RESPONSE","IL33","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE 2 IMMUNE RESPONSE","IL4","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE 2 IMMUNE RESPONSE","IL18","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE 2 IMMUNE RESPONSE","TRAF3IP2","Immune response, Th2","Adaptive","Cellular","T cell","GO:0042092",4
"TYPE I HYPERSENSITIVITY","FCER1A","Hypersensitivity, Type I","Adaptive","Humoral","Allergy","GO:0016068",1
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNE","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","STAT2","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","HDAC4","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","STAT1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFITM1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","JAK1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","OAS2","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TYK2","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNAR1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNAR2","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFI27","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TRIM65","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TBKBP1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFITM3","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","SP100","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","C9JQL5","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFITM2","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA8","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","MAVS","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA2","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA4","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
