Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
"I (D26, moderate)","ChAd (V2, D3)",25,215,11.63,9.462850012684609e-234,233.0239780434743
"I (D26, moderate)","ChAd-BNT (V2, D3)",132,1156,11.42,0,Inf
"I (D26, moderate)","ChAd-BNT (V2, D7)",185,972,19.03,0,Inf
"I (D26, moderate)","ChAd-BNT (V3, D1)",117,1388,8.43,0,Inf
"I (D26, moderate)","I (D10, moderate)",1502,3139,47.85,2.1267689999202035e-149,148.6722796786483
"I (D26, moderate)","I (D10, severe)",1335,4096,32.59,2.641279173313272e-292,291.5781856930673
"I (D26, moderate)","I (D26, severe)",1355,2021,67.05,1.5025085374069788e-273,272.8231830516126
"I (D26, moderate)","I (D51, moderate)",29,2021,1.43,2.934138303263899e-38,37.53251941914689
"I (D26, moderate)","I (D51, severe)",809,2021,40.03,0,Inf
"I (D26, moderate)","ZF2001 (V3, D07)",163,2021,8.07,0,Inf
"I (D26, moderate)","ZF2001 (V3, D14)",17,2021,0.84,5.9562259166105e-310,309.2250288380393
"I (D26, moderate)","ZF2001 (V3, D28)",6,2021,0.3,9.336990395614756e-65,64.02979308792482
"I (D26, severe)","BBIBP (V3, D14)",5,44,11.36,7.402534128134758e-89,88.1306195816926
